name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews
Michael Jackson,Gary,UNITED STATES,1958,Male,MUSICIAN,MUSIC,ARTS,145250649,3368345.812,67216609,988099.6531
Justin Bieber,London,CANADA,1994,Male,SINGER,MUSIC,ARTS,113558067,1171017.672,59787119,1208064.543
Barack Obama,Honolulu,UNITED STATES,1961,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,112536577,1409146.656,72672000,562682.885
Eminem,Saint Joseph,UNITED STATES,1972,Male,SINGER,MUSIC,ARTS,108953700,527802.5091,66505927,1312695.181
Lady Gaga,New York,UNITED STATES,1986,Female,MUSICIAN,MUSIC,ARTS,104562647,1002621.618,56998631,786185.3158
Miley Cyrus,Nashville,UNITED STATES,1992,Female,ACTOR,FILM AND THEATRE,ARTS,91947733,372942.097,48648525,1277051.847
Cristiano Ronaldo,Santo António,PORTUGAL,1985,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,91677973,642407.5475,35138959,1053769.805
Rihanna,Saint Michael Parish,BARBADOS,1988,Female,SINGER,MUSIC,ARTS,89939558,473559.3472,48884278,1058112.447
Selena Gomez,Grand Prairie,United States,1992,Female,SINGER,MUSIC,ARTS,87742946,577493.6444,45645833,913989.0208
Johnny Depp,Owensboro,UNITED STATES,1963,Male,ACTOR,FILM AND THEATRE,ARTS,83016743,412044.1787,36362738,1037709.288
Lionel Messi,Rosario,ARGENTINA,1987,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,82454215,786769.4107,29688186,867939.1053
Steve Jobs,San Francisco-Bay Area,UNITED STATES,1955,Male,DESIGNER,DESIGN,ARTS,78372660,2303998.692,45627865,642398.8525
Angelina Jolie,Los Angeles,UNITED STATES,1975,Female,ACTOR,FILM AND THEATRE,ARTS,68213700,300252.032,34643640,749601.0989
Nelson Mandela,Mvezo,SOUTH AFRICA,1918,Male,SOCIAL ACTIVIST,ACTIVISM,PUBLIC FIGURE,67714052,1850487.254,31271016,509128.2105
Kim Kardashian,Los Angeles,UNITED STATES,1980,Female,CELEBRITY,MEDIA PERSONALITY,PUBLIC FIGURE,66670205,380555.187,47834822,1515231.932
Lil Wayne,New Orleans,United States,1982,Male,SINGER,MUSIC,ARTS,64484487,191932.8068,52129870,1401836.674
Marilyn Monroe,Los Angeles,United States,1926,Female,ACTOR,FILM AND THEATRE,ARTS,63671491,429637.8174,31088742,445255.1818
Mark Zuckerberg,Lower Hudson Valley,United States,1984,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,62640549,953554.1396,39243182,736947.6353
Katy Perry,Santa Barbara,UNITED STATES,1984,Female,SINGER,MUSIC,ARTS,61762831,399078.4206,36463275,857817.0972
Bob Marley,Nine Mile,Jamaica,1945,Male,MUSICIAN,MUSIC,ARTS,60597640,282620.4251,25535582,665908.1319
Tupac Shakur,New York,United States,1971,Male,SINGER,MUSIC,ARTS,59789956,200147.609,36806550,866521.1014
Megan Fox,Oak Ridge,UNITED STATES,1986,Female,ACTOR,FILM AND THEATRE,ARTS,59594557,373241.8057,33823561,945945.3492
Nicki Minaj,Saint James,Trinidad and Tobago,1982,Female,SINGER,MUSIC,ARTS,59132166,688440.0929,42689615,1115701.245
Taylor Swift,Reading,United States,1989,Female,ACTOR,FILM AND THEATRE,ARTS,58688243,422497.3338,37700341,863062.3971
Britney Spears,McComb,UNITED STATES,1981,Female,SINGER,MUSIC,ARTS,58474806,181731.4988,30872137,622072.4043
John Lennon,Liverpool,UNITED KINGDOM,1940,Male,MUSICIAN,MUSIC,ARTS,58141089,522539.2213,27258263,575654.3465
John F. Kennedy,Boston,UNITED STATES,1917,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,57596834,390275.9941,33052400,496524.431
Freddie Mercury,Stone Town,Tanzania,1946,Male,MUSICIAN,MUSIC,ARTS,56680942,700057.3148,23306094,755745.8933
Bruce Lee,San Francisco-Bay Area,UNITED STATES,1940,Male,ACTOR,FILM AND THEATRE,ARTS,56281877,267732.5169,28409150,670022.3452
Mila Kunis,Chernivtsi,UKRAINE,1983,Female,ACTOR,FILM AND THEATRE,ARTS,56135643,529769.0509,36542167,701695.5375
Elvis Presley,Tupelo,UNITED STATES,1935,Male,SINGER,MUSIC,ARTS,55896331,205967.6053,26072801,473697.7203
Will Smith,Philadelphia,United States,1968,Male,ACTOR,FILM AND THEATRE,ARTS,55709750,246661.6217,30098646,752834.4595
Kristen Stewart,Los Angeles,UNITED STATES,1990,Female,ACTOR,FILM AND THEATRE,ARTS,55438548,382023.0596,29122743,955837.0345
Brad Pitt,Shawnee,United States,1963,Male,ACTOR,FILM AND THEATRE,ARTS,55005621,227006.832,25372370,639600.2442
Che Guevara,Rosario,Argentina,1928,Male,SOCIAL ACTIVIST,ACTIVISM,PUBLIC FIGURE,54896869,175079.219,22644885,425557.124
Shakira,Barranquilla,COLOMBIA,1977,Female,SINGER,MUSIC,ARTS,54558771,347787.8847,22265000,586653.4516
Elizabeth II of the United Kingdom,London,United Kingdom,1926,Female,NOBLEMAN,GOVERNMENT,INSTITUTIONS,54551771,766207.7959,26927799,429541.5039
Arnold Schwarzenegger,Thal,AUSTRIA,1947,Male,ACTOR,FILM AND THEATRE,ARTS,54504491,262881.5121,29269804,626488.4023
Bill Gates,Seattle,UNITED STATES,1955,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,54216010,223586.8329,28776520,440780.5691
Leonardo DiCaprio,Los Angeles,UNITED STATES,1974,Male,ACTOR,FILM AND THEATRE,ARTS,53901927,359132.3371,27364717,691050.3462
Demi Lovato,Albuquerque,UNITED STATES,1992,Female,SINGER,MUSIC,ARTS,53414996,313306.1234,29050645,635892.8095
Heath Ledger,Perth,AUSTRALIA,1979,Male,ACTOR,FILM AND THEATRE,ARTS,53298524,592128.5141,25999636,730116.7671
Beyoncé,Houston,UNITED STATES,1981,Female,SINGER,MUSIC,ARTS,53049791,346474.197,31191963,616858.0349
Robert Pattinson,London,UNITED KINGDOM,1986,Male,ACTOR,FILM AND THEATRE,ARTS,50103232,390073.8104,24543217,782863
Michael Jordan,New York,UNITED STATES,1963,Male,BASKETBALL PLAYER,TEAM SPORTS,SPORTS,49879093,262167.1281,31236048,665054.5733
The Rock,San Francisco-Bay Area,UNITED STATES,1972,Male,ACTOR,FILM AND THEATRE,ARTS,49588797,409508.3576,31380680,1101973.267
Stephen Hawking,Oxford,UNITED KINGDOM,1942,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,48854549,353873.8329,26145454,581601.7738
John Cena,West Newbury,UNITED STATES,1977,Male,WRESTLER,INDIVIDUAL SPORTS,SPORTS,48740783,229723.0381,27756660,919637.4151
Tom Cruise,Syracuse,UNITED STATES,1962,Male,ACTOR,FILM AND THEATRE,ARTS,48511575,323688.2455,25325423,591604.5732
Jennifer Lopez,New York,United States,1969,Female,SINGER,MUSIC,ARTS,47371469,391698.2742,24031252,640154.9865
Scarlett Johansson,New York,UNITED STATES,1984,Female,ACTOR,FILM AND THEATRE,ARTS,47029383,285373.8616,25225160,516806.4066
Emma Watson,Paris,FRANCE,1990,Female,ACTOR,FILM AND THEATRE,ARTS,46840359,387006.8162,23324583,616320.5132
Kurt Cobain,Aberdeen,UNITED STATES,1967,Male,SINGER,MUSIC,ARTS,46176455,198963.6771,20350744,679065.5147
Amy Winehouse,London,UNITED KINGDOM,1983,Female,MUSICIAN,MUSIC,ARTS,46157347,1874854.165,24292762,591760.859
Natalie Portman,Jerusalem,Israel,1981,Female,ACTOR,FILM AND THEATRE,ARTS,45549617,401406.8861,23914348,583969.4487
Osama bin Laden,Riyadh,SAUDI ARABIA,1957,Male,EXTREMIST,OUTLAWS,PUBLIC FIGURE,45515336,1717072.345,25949800,370043.3821
Charlie Sheen,New York,UNITED STATES,1965,Male,ACTOR,FILM AND THEATRE,ARTS,44461809,642139.6176,25622979,871800.1765
Jackie Chan,Victoria Peak,,1954,Male,ACTOR,FILM AND THEATRE,ARTS,44209817,232011.2176,20340484,545800.2099
Avril Lavigne,Belleville,CANADA,1984,Female,MUSICIAN,MUSIC,ARTS,43963702,205053.4208,19626538,426832.0583
Sylvester Stallone,New York,UNITED STATES,1946,Male,ACTOR,FILM AND THEATRE,ARTS,43805205,293800.3024,21338758,591962.2297
Jennifer Aniston,Los Angeles,UNITED STATES,1969,Female,ACTOR,FILM AND THEATRE,ARTS,43727724,209638.7591,25563882,624681.7714
George Bush,New Haven,UNITED STATES,1946,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,42866705,231269.9209,28235452,299767.1678
Jay-Z,New York,UNITED STATES,1969,Male,SINGER,MUSIC,ARTS,42716217,172100.2225,32203115,762789.5893
50 Cent,New York,United States,1975,Male,SINGER,MUSIC,ARTS,42347730,105984.9005,24758992,632055.6716
Quentin Tarantino,Knoxville,UNITED STATES,1963,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,41489929,408798.5688,17643500,610146.0147
Kanye West,Atlanta,UNITED STATES,1977,Male,SINGER,MUSIC,ARTS,41382483,208288.0636,32040185,766342.2778
Taylor Lautner,Grand Rapids,UNITED STATES,1992,Male,ACTOR,FILM AND THEATRE,ARTS,40302818,343655.0023,20943556,363088.4505
Lindsay Lohan,New York,UNITED STATES,1986,Female,ACTOR,FILM AND THEATRE,ARTS,40252855,128037.1199,21306837,609891.7424
Jason Statham,Shirebrook,United Kingdom,1967,Male,ACTOR,FILM AND THEATRE,ARTS,39879628,288636.1065,18603622,813869.9592
Vin Diesel,New York,UNITED STATES,1967,Male,ACTOR,FILM AND THEATRE,ARTS,39643634,339794.2443,18948432,861818.1304
Chuck Norris,Ryan,UNITED STATES,1940,Male,ACTOR,FILM AND THEATRE,ARTS,39583094,286280.8905,18461401,618485.8438
Jimi Hendrix,Seattle,UNITED STATES,1942,Male,MUSICIAN,MUSIC,ARTS,39460548,116896.4358,18685074,475428.2892
Justin Timberlake,Memphis,UNITED STATES,1981,Male,SINGER,MUSIC,ARTS,39421979,271672.9243,23672034,571333.029
Sasha Grey,Sacramento,UNITED STATES,1988,Female,PORNOGRAPHIC ACTOR,MEDIA PERSONALITY,PUBLIC FIGURE,39291394,308232.8469,23335795,1061929.568
Whitney Houston,Newark,UNITED STATES,1963,Female,SINGER,MUSIC,ARTS,38908449,1918554.72,22555324,409562.6211
Pope John Paul II,Wadowice,POLAND,1920,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,38369456,480923.0148,10548169,348813.2364
Macaulay Culkin,New York,UNITED STATES,1980,Male,ACTOR,FILM AND THEATRE,ARTS,38342996,366673.3102,21178241,852066.5778
Bruno Mars,Honolulu,UNITED STATES,1985,Male,SINGER,MUSIC,ARTS,38317635,509755.2098,23206228,722974.2453
Ronaldo,Rio de Janeiro,BRAZIL,1976,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,38313289,210732.8894,14546961,510843.8533
Ronaldinho,Porto Alegre,BRAZIL,1980,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,38309688,212406.2667,14213401,497528.4156
Charles Manson,Cincinnati,United States,1934,Male,EXTREMIST,OUTLAWS,PUBLIC FIGURE,38188189,170814.2462,23609000,888097.4186
Clint Eastwood,San Francisco-Bay Area,UNITED STATES,1930,Male,ACTOR,FILM AND THEATRE,ARTS,38171082,203048.8527,19132652,508947.76
Salvador Dalí,Figueres,SPAIN,1904,Male,PAINTER,FINE ARTS,ARTS,37482606,157239.1092,15023975,307234.4754
Margaret Thatcher,Grantham,UNITED KINGDOM,1925,Female,POLITICIAN,GOVERNMENT,INSTITUTIONS,37450537,772675.5399,21220284,390109.7604
Bruce Willis,Idar-Oberstein,Germany,1955,Male,ACTOR,FILM AND THEATRE,ARTS,37426877,215179.8116,17346389,519817.7361
Snoop Dogg,Los Angeles,UNITED STATES,1971,Male,MUSICIAN,MUSIC,ARTS,37419499,167544.56,22431566,706028.283
Zac Efron,San Luis Obispo,UNITED STATES,1987,Male,ACTOR,FILM AND THEATRE,ARTS,37182510,130883.3303,17976881,563371.3636
Mark Calaway,Houston,UNITED STATES,1965,Male,WRESTLER,INDIVIDUAL SPORTS,SPORTS,36963228,177469.347,26989665,803548.4348
Roger Federer,Basel,SWITZERLAND,1981,Male,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,36800261,459159.42,18392290,364359.0198
David Beckham,Leytonstone,UNITED KINGDOM,1975,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,36709829,230186.9724,18690604,453207.7654
Ashton Kutcher,Cedar Rapids,UNITED STATES,1978,Male,ACTOR,FILM AND THEATRE,ARTS,36700343,234406.5461,20278243,705775.8269
Nicolas Cage,Los Angeles,UNITED STATES,1964,Male,ACTOR,FILM AND THEATRE,ARTS,36527470,188271.0377,17482824,529383.6232
Mariah Carey,Long Island,UNITED STATES,1970,Female,SINGER,MUSIC,ARTS,36400183,154854.5407,24417357,498632.6438
Jim Carrey,Newmarket,CANADA,1962,Male,ACTOR,FILM AND THEATRE,ARTS,36248249,151370.7143,19508404,489841.2027
Muhammad Ali,Louisville,UNITED STATES,1942,Male,BOXER,INDIVIDUAL SPORTS,SPORTS,36149628,210589.0946,24064665,430352.7143
Ronald Reagan,Tampico,UNITED STATES,1911,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,35787293,137049.0948,23752828,334460.6822
Christian Bale,Haverfordwest,UNITED KINGDOM,1974,Male,ACTOR,FILM AND THEATRE,ARTS,35700117,317614.6244,21323689,605086.7288
Adam Sandler,New York,UNITED STATES,1966,Male,ACTOR,FILM AND THEATRE,ARTS,35690814,158834.1741,20834919,637335.9643
Emma Stone,Scottsdale,UNITED STATES,1988,Female,ACTOR,FILM AND THEATRE,ARTS,35516223,435375.4516,20692076,934637.4474
Christina Aguilera,New York,UNITED STATES,1980,Female,SINGER,MUSIC,ARTS,35311141,192500.4982,19729106,490432.5139
Jennifer Lawrence,Louisville,UNITED STATES,1990,Female,ACTOR,FILM AND THEATRE,ARTS,35058386,750482.9416,22694103,834723.4762
Audrey Hepburn,Ixelles,BELGIUM,1929,Female,ACTOR,FILM AND THEATRE,ARTS,34983096,168482.5772,18744207,437288.7
Mark Wahlberg,Boston,UNITED STATES,1971,Male,ACTOR,FILM AND THEATRE,ARTS,34946991,210392.7816,23870541,647166.5
Marilyn Manson,Canton,UNITED STATES,1969,Male,MUSICIAN,MUSIC,ARTS,34585486,120264.7292,15303981,678146.7843
Jessica Alba,Los Angeles,UNITED STATES,1981,Female,ACTOR,FILM AND THEATRE,ARTS,34371172,105235.4494,18860899,513002.5672
Andy Warhol,Pittsburgh,UNITED STATES,1928,Male,ARTIST,FINE ARTS,ARTS,34354584,113050.3572,17306096,343545.84
Neil Patrick Harris,Albuquerque,UNITED STATES,1973,Male,ACTOR,FILM AND THEATRE,ARTS,34215346,244823.2885,22123386,834520.6341
Sandra Bullock,Arlington County,UNITED STATES,1964,Female,ACTOR,FILM AND THEATRE,ARTS,34067509,273739.223,19793533,466678.2055
Vanessa Hudgens,Salinas,UNITED STATES,1988,Female,ACTOR,FILM AND THEATRE,ARTS,34030925,144376.9947,19960588,576795.339
Kaley Cuoco,Camarillo,UNITED STATES,1985,Female,ACTOR,FILM AND THEATRE,ARTS,33795489,339449.351,20991972,965585.4
Paul McCartney,Liverpool,United Kingdom,1942,Male,MUSICIAN,MUSIC,ARTS,33759450,150992.933,18217133,383630.1136
Bob Dylan,Duluth,UNITED STATES,1941,Male,MUSICIAN,MUSIC,ARTS,33728144,84438.09499,17757303,383274.3636
Channing Tatum,Cullman,UNITED STATES,1980,Male,ACTOR,FILM AND THEATRE,ARTS,33586668,366560.6249,21000246,932963
David Bowie,Brixton,United Kingdom,1947,Male,SINGER,MUSIC,ARTS,33416436,146215.627,18317998,498752.7761
Ryan Reynolds,Vancouver,CANADA,1976,Male,ACTOR,FILM AND THEATRE,ARTS,33408554,187251.1805,21685218,879172.4737
Walt Disney,Chicago,UNITED STATES,1901,Male,PRODUCER,BUSINESS,BUSINESS & LAW,33332870,121546.731,16504897,294981.1504
Zooey Deschanel,Los Angeles,UNITED STATES,1980,Female,ACTOR,FILM AND THEATRE,ARTS,33206930,251551.2557,22853813,851459.7436
Kobe Bryant,Philadelphia,UNITED STATES,1978,Male,BASKETBALL PLAYER,TEAM SPORTS,SPORTS,32483589,205243.7492,22493367,515612.5238
Jean-Claude Van Damme,Sint-Agatha-Berchem,BELGIUM,1960,Male,ACTOR,FILM AND THEATRE,ARTS,32420293,185771.652,14747811,558970.569
Johnny Cash,Kingsland,United States,1932,Male,SINGER,MUSIC,ARTS,32337297,98114.79239,17390415,449129.125
Daniel Radcliffe,Fulham,United Kingdom,1989,Male,ACTOR,FILM AND THEATRE,ARTS,31810849,286553.6154,15935605,413127.9091
Paul Walker,Los Angeles,UNITED STATES,1973,Male,ACTOR,FILM AND THEATRE,ARTS,31764885,1928081.316,16139391,907568.1429
Brittany Murphy,Atlanta,UNITED STATES,1977,Female,ACTOR,FILM AND THEATRE,ARTS,31729934,925649.9575,19569458,647549.6735
Tom Hanks,San Francisco-Bay Area,UNITED STATES,1956,Male,ACTOR,FILM AND THEATRE,ARTS,31663053,140051.3138,17534060,405936.5769
Hilary Duff,Houston,UNITED STATES,1987,Female,ACTOR,FILM AND THEATRE,ARTS,31611872,79214.23433,16471729,545032.2759
Mike Tyson,New York,UNITED STATES,1966,Male,BOXER,INDIVIDUAL SPORTS,SPORTS,31411645,143984.1181,17475037,498597.5397
Robert De Niro,New York,UNITED STATES,1943,Male,ACTOR,FILM AND THEATRE,ARTS,31396706,158575.1007,15512312,382886.6585
Bill Clinton,Hope,UNITED STATES,1946,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,31143787,134265.8097,21236010,263930.3983
Ryan Gosling,London,CANADA,1980,Male,ACTOR,FILM AND THEATRE,ARTS,31058128,363749.0093,17959836,839408.8649
Rafael Nadal,Manacor,SPAIN,1986,Male,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,31040194,354320.0459,15378035,365178.7529
LeBron James,Akron,UNITED STATES,1984,Male,BASKETBALL PLAYER,TEAM SPORTS,SPORTS,30950673,288853.4011,22023095,606875.9412
Zlatan Ibrahimovi?,Malmö,Sweden,1981,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,30902757,333422.6655,10467253,461235.1791
George Clooney,Lexington,UNITED STATES,1961,Male,ACTOR,FILM AND THEATRE,ARTS,30655961,161472.1621,16535281,486602.5556
Pope Benedict XVI,Marktl,Germany,1927,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,30549543,599709.7175,11759340,248370.2683
Al Pacino,New York,United States,1940,Male,ACTOR,FILM AND THEATRE,ARTS,30515316,122784.6525,14509123,418018.0274
Elizabeth Taylor,Hampstead,United Kingdom,1932,Female,ACTOR,FILM AND THEATRE,ARTS,30501275,763547.9539,19611496,338903.0556
Matt Damon,Boston,UNITED STATES,1970,Male,ACTOR,FILM AND THEATRE,ARTS,30409008,142163.9148,17251373,506816.8
Keanu Reeves,Beirut,LEBANON,1964,Male,ACTOR,FILM AND THEATRE,ARTS,30400034,154442.5506,15833161,447059.3235
Jenna Jameson,Las Vegas,UNITED STATES,1974,Female,PORNOGRAPHIC ACTOR,MEDIA PERSONALITY,PUBLIC FIGURE,30222818,74412.15467,17556521,629642.0417
Tim Burton,Los Angeles,UNITED STATES,1958,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,30153184,151485.3917,12921881,511070.9153
Mother Teresa,Skopje,Republic of Macedonia,1910,Female,SOCIAL ACTIVIST,ACTIVISM,PUBLIC FIGURE,30145431,142746.1743,13786188,298469.6139
Cameron Diaz,San Diego,UNITED STATES,1972,Female,ACTOR,FILM AND THEATRE,ARTS,30092275,145796.3499,15233910,442533.4559
Triple H,Nashua,UNITED STATES,1969,Male,WRESTLER,INDIVIDUAL SPORTS,SPORTS,29927201,112772.0272,21281474,787557.9211
Stephen King,Portland,UNITED STATES,1947,Male,WRITER,LANGUAGE,HUMANITIES,29793908,74051.94371,12796599,397252.1067
Keira Knightley,Teddington,UNITED KINGDOM,1985,Female,ACTOR,FILM AND THEATRE,ARTS,29652842,123770.8193,14476971,429751.3333
Sarah Palin,Sandpoint,UNITED STATES,1964,Female,POLITICIAN,GOVERNMENT,INSTITUTIONS,29614010,895568.0681,24736318,423057.2857
Dakota Fanning,Conyers,UNITED STATES,1994,Female,ACTOR,FILM AND THEATRE,ARTS,29506711,151497.9674,15585226,567436.75
Muammar al-Gaddafi,Qasr Abu Hadi,Libya,1942,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,29470548,921884.747,12482232,265500.4324
Liam Neeson,Ballymena,UNITED KINGDOM,1952,Male,ACTOR,FILM AND THEATRE,ARTS,29457449,247217.1007,17755623,566489.4038
Dr. Dre,Los Angeles,UNITED STATES,1965,Male,SINGER,MUSIC,ARTS,29293088,165468.154,19785744,574374.2745
Neymar da Silva,Mogi das Cruzes,BRAZIL,1992,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,29245139,477557.5812,9657964,596839.5714
Steven Spielberg,Cincinnati,UNITED STATES,1946,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,29240531,132647.4702,15195821,301448.7732
Nicole Scherzinger,Honolulu,UNITED STATES,1978,Female,SINGER,MUSIC,ARTS,29214493,156636.672,19353990,596214.1429
The Notorious B.I.G.,New York,United States,1972,Male,SINGER,MUSIC,ARTS,29134431,143027.0013,21031779,633357.1957
David Guetta,Paris,FRANCE,1967,Male,MUSICIAN,MUSIC,ARTS,28980836,244687.1829,11605909,499669.5862
Blake Lively,Los Angeles,UNITED STATES,1987,Female,ACTOR,FILM AND THEATRE,ARTS,28951079,216396.6494,16977468,689311.4048
Fidel Castro,Birán,CUBA,1926,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,28679945,137160.4572,14288715,249390.8261
Morgan Freeman,Memphis,UNITED STATES,1937,Male,ACTOR,FILM AND THEATRE,ARTS,28543488,304843.5326,17129218,432477.0909
Lana Del Rey,New York,UNITED STATES,1986,Female,SINGER,MUSIC,ARTS,28469220,577695.4214,15961423,632649.3333
Kesha,Los Angeles,UNITED STATES,1987,Female,SINGER,MUSIC,ARTS,28306872,379624.7945,19886468,471781.2
Warren Buffett,Omaha,UNITED STATES,1930,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,28105827,96984.14551,18065704,432397.3385
Daniel Craig,Chester,United Kingdom,1968,Male,ACTOR,FILM AND THEATRE,ARTS,28066604,350993.594,16431245,475705.1525
Usain Bolt,Sherwood Content,Jamaica,1986,Male,ATHLETE,INDIVIDUAL SPORTS,SPORTS,27968614,674724.1745,14493145,329042.5176
Fernando Torres,Fuenlabrada,SPAIN,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,27838647,244907.3793,13183540,397694.9571
Akon,St. Louis,UNITED STATES,1973,Male,SINGER,MUSIC,ARTS,27806472,103273.0173,18118555,487832.8421
Paris Hilton,New York,UNITED STATES,1981,Female,CELEBRITY,MEDIA PERSONALITY,PUBLIC FIGURE,27804491,68660.8068,14894758,434445.1719
Demi Moore,Roswell,UNITED STATES,1962,Female,ACTOR,FILM AND THEATRE,ARTS,27747931,160443.5952,16489947,396399.0143
Neil Armstrong,Auglaize County,United States,1930,Male,ASTRONAUT,EXPLORERS,EXPLORATION,27740982,455622.6399,15381770,229264.314
Julia Roberts,Smyrna,UNITED STATES,1967,Female,ACTOR,FILM AND THEATRE,ARTS,27694179,129509.4006,14518146,364397.0921
Kate Winslet,Reading,UNITED KINGDOM,1975,Female,ACTOR,FILM AND THEATRE,ARTS,27624855,182694.1053,14971440,378422.6712
Charlize Theron,Johannesburg,SOUTH AFRICA,1975,Female,ACTOR,FILM AND THEATRE,ARTS,27622039,227524.2552,14527556,445516.7581
Hugh Jackman,Sydney,AUSTRALIA,1968,Male,ACTOR,FILM AND THEATRE,ARTS,27523862,231633.3649,15763644,482874.7719
Jim Morrison,Melbourne,UNITED STATES,1943,Male,SINGER,MUSIC,ARTS,27417278,125947.5925,12656393,428394.9688
Frank Sinatra,Hoboken,UNITED STATES,1915,Male,SINGER,MUSIC,ARTS,27388225,82469.27808,15909738,370111.1486
Richard Nixon,Los Angeles,UNITED STATES,1913,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,27325221,94944.97918,18106464,265293.4078
Olivia Wilde,New York,UNITED STATES,1984,Female,ACTOR,FILM AND THEATRE,ARTS,27290905,205567.0426,18216833,737592.027
Shahrukh Khan,New Delhi,India,1965,Male,ACTOR,FILM AND THEATRE,ARTS,27226861,154948.686,21517976,418874.7846
Woody Allen,New York,UNITED STATES,1935,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,27097646,130899.9972,11696616,351917.4805
Patrick Swayze,Houston,UNITED STATES,1952,Male,ACTOR,FILM AND THEATRE,ARTS,27039978,428924.1467,14845214,429206
Ashley Tisdale,West Deal,United States,1985,Female,ACTOR,FILM AND THEATRE,ARTS,26995415,96867.11951,14173709,490825.7273
Miranda Cosgrove,Los Angeles,UNITED STATES,1993,Female,ACTOR,FILM AND THEATRE,ARTS,26971468,115965.9555,15313815,728958.5946
Skrillex,Los Angeles,United States,1988,Male,MUSICIAN,MUSIC,ARTS,26875680,464552.2992,15685557,689120
Anne Frank,Frankfurt,Germany,1929,Female,WRITER,LANGUAGE,HUMANITIES,26806636,142597.9135,12392873,348138.1299
John Travolta,Englewood,UNITED STATES,1954,Male,ACTOR,FILM AND THEATRE,ARTS,26801847,144963.8162,14261757,418778.8594
Kaká,Brasilia,BRAZIL,1982,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,26741890,174290.6482,11185649,376646.338
Jake Gyllenhaal,Los Angeles,UNITED STATES,1980,Male,ACTOR,FILM AND THEATRE,ARTS,26372359,159995.3711,14816629,488377.0185
James Franco,San Francisco-Bay Area,UNITED STATES,1978,Male,ACTOR,FILM AND THEATRE,ARTS,26327644,253056.7896,18206733,612270.7907
Jim Parsons,Houston,UNITED STATES,1973,Male,ACTOR,FILM AND THEATRE,ARTS,26255673,286832.0411,16326831,673222.3846
Saddam Hussein,Al-Awja,Iraq,1937,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,26122662,119639.9987,12133300,266557.7755
Gwyneth Paltrow,Los Angeles,UNITED STATES,1972,Female,ACTOR,FILM AND THEATRE,ARTS,26075982,184604.649,15063487,283434.587
Bradley Cooper,Philadelphia,United States,1975,Male,ACTOR,FILM AND THEATRE,ARTS,25936636,274671.5737,16407249,720462.1111
Mel Gibson,Lower Hudson Valley,United States,1956,Male,ACTOR,FILM AND THEATRE,ARTS,25778872,120535.101,14112523,368269.6
Malcolm X,Omaha,United States,1925,Male,SOCIAL ACTIVIST,ACTIVISM,PUBLIC FIGURE,25768520,103676.6942,16544364,368121.7143
Manny Pacquiáo,Kibawe,PHILIPPINES,1978,Male,BOXER,INDIVIDUAL SPORTS,SPORTS,25713027,332861.372,19137076,659308.3846
Rachel McAdams,London,CANADA,1978,Female,ACTOR,FILM AND THEATRE,ARTS,25704275,171135.3802,15782072,626933.5366
Shia LaBeouf,Los Angeles,UNITED STATES,1986,Male,ACTOR,FILM AND THEATRE,ARTS,25697179,147218.9892,16423463,584026.7955
Pablo Escobar,Rionegro,COLOMBIA,1949,Male,MAFIOSO,OUTLAWS,PUBLIC FIGURE,25667921,254685.8667,10013408,596928.3953
Nicole Kidman,Honolulu,UNITED STATES,1967,Female,ACTOR,FILM AND THEATRE,ARTS,25399016,109082.0423,12594881,317487.7
George Harrison,Liverpool,UNITED KINGDOM,1943,Male,MUSICIAN,MUSIC,ARTS,25394395,104326.4161,13859280,325569.1667
